comName,sciName,speciesCode,category,taxonOrder,bandingCodes,comNameCodes,sciNameCodes,order,familyComName,familySciName,reportAs,extinct,extinctYear
Bay-breasted/Blackpoll Warbler,Setophaga castanea/striata,y00627,slash,32843.0,[],"['BBWA', 'BLPW', 'BLWA']","['SEST', 'SECA']",Passeriformes,New World Warblers,Parulidae,,,
Black-throated Blue Warbler,Setophaga caerulescens,btbwar,species,32844.0,['BTBW'],[],['SECA'],Passeriformes,New World Warblers,Parulidae,,,
Palm Warbler,Setophaga palmarum,palwar,species,32848.0,['PAWA'],[],['SEPA'],Passeriformes,New World Warblers,Parulidae,,,
Pine Warbler,Setophaga pinus,pinwar,species,32853.0,['PIWA'],[],['SEPI'],Passeriformes,New World Warblers,Parulidae,,,
Yellow-rumped Warbler,Setophaga coronata,yerwar,species,32858.0,['YRWA'],['MYWA'],['SECO'],Passeriformes,New World Warblers,Parulidae,,,
Yellow-throated Warbler,Setophaga dominica,yetwar,species,32867.0,['YTWA'],[],['SEDO'],Passeriformes,New World Warblers,Parulidae,,,
Prairie Warbler,Setophaga discolor,prawar,species,32879.0,['PRAW'],['PRWA'],['SEDI'],Passeriformes,New World Warblers,Parulidae,,,
Black-throated Gray Warbler,Setophaga nigrescens,btywar,species,32892.0,['BTYW'],['BTGW'],['SENI'],Passeriformes,New World Warblers,Parulidae,,,
Black-throated Green Warbler,Setophaga virens,btnwar,species,32906.0,['BTNW'],['BTGW'],['SEVI'],Passeriformes,New World Warblers,Parulidae,,,
Canada Warbler,Cardellina canadensis,canwar,species,33028.0,['CAWA'],[],['CACA'],Passeriformes,New World Warblers,Parulidae,,,
Wilson's Warbler,Cardellina pusilla,wlswar,species,33029.0,['WIWA'],[],['CAPU'],Passeriformes,New World Warblers,Parulidae,,,
Summer Tanager,Piranga rubra,sumtan,species,33112.0,['SUTA'],[],['PIRU'],Passeriformes,Cardinals and Allies,Cardinalidae,,,
Scarlet Tanager,Piranga olivacea,scatan,species,33116.0,['SCTA'],[],['PIOL'],Passeriformes,Cardinals and Allies,Cardinalidae,,,
Western Tanager,Piranga ludoviciana,westan,species,33118.0,['WETA'],[],['PILU'],Passeriformes,Cardinals and Allies,Cardinalidae,,,
Northern Cardinal,Cardinalis cardinalis,norcar,species,33194.0,['NOCA'],[],['CACA'],Passeriformes,Cardinals and Allies,Cardinalidae,,,
Rose-breasted Grosbeak,Pheucticus ludovicianus,robgro,species,33236.0,['RBGR'],[],['PHLU'],Passeriformes,Cardinals and Allies,Cardinalidae,,,
Blue Grosbeak,Passerina caerulea,blugrb1,species,33276.0,['BLGR'],[],['PACA'],Passeriformes,Cardinals and Allies,Cardinalidae,,,
Indigo Bunting,Passerina cyanea,indbun,species,33285.0,['INBU'],[],['PACY'],Passeriformes,Cardinals and Allies,Cardinalidae,,,
Painted Bunting,Passerina ciris,paibun,species,33298.0,['PABU'],[],['PACI'],Passeriformes,Cardinals and Allies,Cardinalidae,,,
Dickcissel,Spiza americana,dickci,species,33304.0,['DICK'],[],['SPAM'],Passeriformes,Cardinals and Allies,Cardinalidae,,,
